                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9679,                 2.0449,                 1.3941,                0.77115,                 0.6177,                 0.6721,                0.30633,                 1.7108,                 1.0171,                 1.3765,             0.00045728,             0.00045728,             0.00045728
                      2,                 1.6346,                0.87106,                 1.1684,                0.80763,                0.72773,                0.76305,                0.37343,                 1.6872,                 1.0125,                 1.2624,             0.00091965,             0.00091965,             0.00091965
                      3,                 1.6399,                0.80875,                 1.1562,                0.84718,                0.70393,                0.77178,                0.35575,                 1.7035,                 1.0558,                 1.3531,              0.0013727,              0.0013727,              0.0013727
                      4,                 1.6447,                0.82076,                 1.1737,                0.81548,                0.69786,                0.80393,                 0.3924,                 1.5725,                0.91642,                 1.2243,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.5808,                0.75515,                 1.1493,                0.84968,                0.71374,                0.78252,                0.36706,                 1.7536,                0.86514,                 1.3426,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.6689,                0.77197,                 1.1806,                0.76529,                0.82689,                0.80741,                0.39448,                 1.6073,                0.81583,                 1.2396,              0.0013724,              0.0013724,              0.0013724
                      7,                   1.64,                0.77449,                 1.1651,                0.86674,                0.81138,                0.84644,                0.40757,                 1.6318,                0.75533,                  1.208,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.5642,                0.72265,                 1.1493,                0.93033,                0.80337,                0.85681,                0.43584,                 1.6008,                0.72515,                 1.2278,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.5369,                0.72894,                 1.1212,                 0.8893,                0.81984,                0.84763,                0.42838,                 1.6387,                 0.7258,                 1.2473,                0.00133,                0.00133,                0.00133
                     10,                 1.5171,                0.68441,                 1.1263,                0.78825,                 0.8648,                0.84502,                 0.4469,                 1.5303,                0.65202,                 1.2023,              0.0013158,              0.0013158,              0.0013158
                     11,                   1.51,                0.67361,                 1.1226,                0.89701,                0.79033,                 0.8356,                0.42668,                 1.5629,                0.68793,                 1.2079,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.5385,                0.70474,                 1.1243,                0.86769,                0.82506,                0.84413,                0.42585,                 1.6402,                0.70791,                 1.2454,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.5228,                  0.666,                 1.1284,                0.89121,                0.87549,                 0.8744,                 0.4521,                  1.602,                 0.6866,                 1.2436,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.5223,                0.66579,                 1.1182,                0.84183,                0.85839,                0.84682,                0.43637,                 1.5963,                0.67408,                 1.2466,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.4936,                 0.6502,                 1.1088,                0.87707,                0.83453,                0.85916,                0.41754,                 1.6542,                0.68625,                  1.261,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.5015,                0.65585,                 1.1163,                0.88522,                0.84462,                 0.8784,                0.43876,                 1.5758,                 0.6677,                 1.2302,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.4767,                0.65373,                 1.1131,                0.90861,                0.84745,                0.86114,                0.44206,                 1.5865,                0.66766,                 1.2141,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.4543,                0.64194,                 1.0966,                0.84853,                0.85003,                 0.8559,                0.46039,                 1.5573,                0.63081,                 1.1941,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.4798,                0.64068,                 1.1004,                0.76009,                0.88128,                0.83358,                0.41777,                 1.6642,                0.67747,                 1.2688,              0.0011885,              0.0011885,              0.0011885
